Datum (MEZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²)
2024-01-01T01:00+01:00,0,0,0,0,0
2024-01-01T02:00+01:00,0,0,0,0,0
2024-01-01T03:00+01:00,0,0,0,0,0
2024-01-01T04:00+01:00,0,0,0,0,0
2024-01-01T05:00+01:00,0,0,0,0,0
2024-01-01T06:00+01:00,0,0,0,0,0
2024-01-01T07:00+01:00,0,0,0,0,0
2024-01-01T08:00+01:00,0,0,0,0,0
2024-01-01T09:00+01:00,5,19,19,8,22
2024-01-01T10:00+01:00,27,66,44,33,122
2024-01-01T11:00+01:00,30,169,30,66,83
2024-01-01T12:00+01:00,108,127,111,119,188
2024-01-01T13:00+01:00,91,72,66,91,125
2024-01-01T14:00+01:00,80,152,75,108,130
2024-01-01T15:00+01:00,44,116,58,72,69
2024-01-01T16:00+01:00,16,30,25,25,19
2024-01-01T17:00+01:00,0,0,0,0,0
2024-01-01T18:00+01:00,0,0,0,0,0
2024-01-01T19:00+01:00,0,0,0,0,0
2024-01-01T20:00+01:00,0,0,0,0,0
2024-01-01T21:00+01:00,0,0,0,0,0
2024-01-01T22:00+01:00,0,0,0,0,0
2024-01-01T23:00+01:00,0,0,0,0,0
2024-01-02T00:00+01:00,0,0,0,0,0
2024-01-02T01:00+01:00,0,0,0,0,0
2024-01-02T02:00+01:00,0,0,0,0,0
2024-01-02T03:00+01:00,0,0,0,0,0
2024-01-02T04:00+01:00,0,0,0,0,0
2024-01-02T05:00+01:00,0,0,0,0,0
2024-01-02T06:00+01:00,0,0,0,0,0
2024-01-02T07:00+01:00,0,0,0,0,0
2024-01-02T08:00+01:00,0,0,0,0,0
2024-01-02T09:00+01:00,2,5,0,5,8
2024-01-02T10:00+01:00,11,13,8,16,16
2024-01-02T11:00+01:00,27,47,19,30,25
2024-01-02T12:00+01:00,30,52,72,36,69
2024-01-02T13:00+01:00,47,55,33,30,75
2024-01-02T14:00+01:00,52,36,16,22,38
2024-01-02T15:00+01:00,16,19,5,16,25
2024-01-02T16:00+01:00,2,5,0,5,5
2024-01-02T17:00+01:00,0,0,0,0,0
2024-01-02T18:00+01:00,0,0,0,0,0
2024-01-02T19:00+01:00,0,0,0,0,0
2024-01-02T20:00+01:00,0,0,0,0,0
2024-01-02T21:00+01:00,0,0,0,0,0
2024-01-02T22:00+01:00,0,0,0,0,0
2024-01-02T23:00+01:00,0,0,0,0,0
2024-01-03T00:00+01:00,0,0,0,0,0
2024-01-03T01:00+01:00,0,0,0,0,0
2024-01-03T02:00+01:00,0,0,0,0,0
2024-01-03T03:00+01:00,0,0,0,0,0
2024-01-03T04:00+01:00,0,0,0,0,0
2024-01-03T05:00+01:00,0,0,0,0,0
2024-01-03T06:00+01:00,0,0,0,0,0
2024-01-03T07:00+01:00,0,0,0,0,0
2024-01-03T08:00+01:00,0,0,0,0,0
2024-01-03T09:00+01:00,22,13,2,5,22
2024-01-03T10:00+01:00,69,50,13,27,61
2024-01-03T11:00+01:00,100,63,97,83,
2024-01-03T12:00+01:00,80,83,180,69,141
2024-01-03T13:00+01:00,91,97,255,94,144
2024-01-03T14:00+01:00,50,230,138,108,86
2024-01-03T15:00+01:00,22,94,83,69,16
2024-01-03T16:00+01:00,5,22,13,11,5
2024-01-03T17:00+01:00,0,0,0,0,0
2024-01-03T18:00+01:00,0,0,0,0,0
2024-01-03T19:00+01:00,0,0,0,0,0
2024-01-03T20:00+01:00,0,0,0,0,0
2024-01-03T21:00+01:00,0,0,0,0,0
2024-01-03T22:00+01:00,0,0,0,0,0
2024-01-03T23:00+01:00,0,0,0,0,0
2024-01-04T00:00+01:00,0,0,0,0,0
2024-01-04T01:00+01:00,0,0,0,0,0
2024-01-04T02:00+01:00,0,0,0,0,0
2024-01-04T03:00+01:00,0,0,0,0,0
2024-01-04T04:00+01:00,0,0,0,0,0
2024-01-04T05:00+01:00,0,0,0,0,0
2024-01-04T06:00+01:00,0,0,0,0,0
2024-01-04T07:00+01:00,0,0,0,0,0
2024-01-04T08:00+01:00,0,0,0,2,0
2024-01-04T09:00+01:00,11,11,2,30,22
2024-01-04T10:00+01:00,63,55,25,55,38
2024-01-04T11:00+01:00,61,86,55,86,83
2024-01-04T12:00+01:00,77,50,58,111,138
2024-01-04T13:00+01:00,66,88,158,80,72
2024-01-04T14:00+01:00,44,83,183,136,122
2024-01-04T15:00+01:00,27,97,97,69,72
2024-01-04T16:00+01:00,2,16,11,19,36
2024-01-04T17:00+01:00,0,0,0,2,0
2024-01-04T18:00+01:00,0,0,0,0,0
2024-01-04T19:00+01:00,0,0,0,0,0
2024-01-04T20:00+01:00,0,0,0,0,0
2024-01-04T21:00+01:00,0,0,0,0,0
2024-01-04T22:00+01:00,0,0,0,0,0
2024-01-04T23:00+01:00,0,0,0,0,0
2024-01-05T00:00+01:00,0,0,0,0,0
2024-01-05T01:00+01:00,0,0,0,0,0
2024-01-05T02:00+01:00,0,0,0,0,0
2024-01-05T03:00+01:00,0,0,0,0,0
2024-01-05T04:00+01:00,0,0,0,0,0
2024-01-05T05:00+01:00,0,0,0,0,0
2024-01-05T06:00+01:00,0,0,0,0,0
2024-01-05T07:00+01:00,0,0,0,0,0
2024-01-05T08:00+01:00,0,0,0,0,0
2024-01-05T09:00+01:00,2,11,13,41,19
2024-01-05T10:00+01:00,16,52,88,61,69
2024-01-05T11:00+01:00,36,88,86,50,108
2024-01-05T12:00+01:00,58,138,50,141,188
2024-01-05T13:00+01:00,47,122,91,213,136
2024-01-05T14:00+01:00,27,94,102,144,122
2024-01-05T15:00+01:00,11,52,61,125,86
2024-01-05T16:00+01:00,5,16,30,58,30
2024-01-05T17:00+01:00,0,0,0,2,0
2024-01-05T18:00+01:00,0,0,0,0,0
2024-01-05T19:00+01:00,0,0,0,0,0
2024-01-05T20:00+01:00,0,0,0,0,0
2024-01-05T21:00+01:00,0,0,0,0,0
2024-01-05T22:00+01:00,0,0,0,0,0
2024-01-05T23:00+01:00,0,0,0,0,0
2024-01-06T00:00+01:00,0,0,0,0,0
2024-01-06T01:00+01:00,0,0,0,0,0
2024-01-06T02:00+01:00,0,0,0,0,0
2024-01-06T03:00+01:00,0,0,0,0,0
2024-01-06T04:00+01:00,0,0,0,0,0
2024-01-06T05:00+01:00,0,0,0,0,0
2024-01-06T06:00+01:00,0,0,0,0,0
2024-01-06T07:00+01:00,0,0,0,0,0
2024-01-06T08:00+01:00,0,0,0,0,0
2024-01-06T09:00+01:00,5,13,5,5,13
2024-01-06T10:00+01:00,30,61,22,22,27
2024-01-06T11:00+01:00,33,119,25,52,52
2024-01-06T12:00+01:00,27,155,61,88,91
2024-01-06T13:00+01:00,19,100,58,88,152
2024-01-06T14:00+01:00,19,41,30,52,116
2024-01-06T15:00+01:00,11,30,22,38,72
2024-01-06T16:00+01:00,2,11,5,11,25
2024-01-06T17:00+01:00,0,0,0,0,2
2024-01-06T18:00+01:00,0,0,0,0,0
2024-01-06T19:00+01:00,0,0,0,0,0
2024-01-06T20:00+01:00,0,0,0,0,0
2024-01-06T21:00+01:00,0,0,0,0,0
2024-01-06T22:00+01:00,0,0,0,0,0
2024-01-06T23:00+01:00,0,0,0,0,0
2024-01-07T00:00+01:00,0,0,0,0,0
2024-01-07T01:00+01:00,0,0,0,0,0
2024-01-07T02:00+01:00,0,0,0,0,0
2024-01-07T03:00+01:00,0,0,0,0,0
2024-01-07T04:00+01:00,0,0,0,0,0
2024-01-07T05:00+01:00,0,0,0,0,0
2024-01-07T06:00+01:00,0,0,0,0,0
2024-01-07T07:00+01:00,0,0,0,0,0
2024-01-07T08:00+01:00,0,0,0,0,0
2024-01-07T09:00+01:00,5,13,2,5,25
2024-01-07T10:00+01:00,38,38,13,22,102
2024-01-07T11:00+01:00,150,86,36,38,75
2024-01-07T12:00+01:00,230,86,41,41,50
2024-01-07T13:00+01:00,219,144,50,27,41
2024-01-07T14:00+01:00,161,69,50,25,38
2024-01-07T15:00+01:00,111,88,38,27,33
2024-01-07T16:00+01:00,25,13,5,16,13
2024-01-07T17:00+01:00,0,0,0,0,0
2024-01-07T18:00+01:00,0,0,0,0,0
2024-01-07T19:00+01:00,0,0,0,0,0
2024-01-07T20:00+01:00,0,0,0,0,0
2024-01-07T21:00+01:00,0,0,0,0,0
2024-01-07T22:00+01:00,0,0,0,0,0
2024-01-07T23:00+01:00,0,0,0,0,0
2024-01-08T00:00+01:00,0,0,0,0,0
2024-01-08T01:00+01:00,0,0,0,0,0
2024-01-08T02:00+01:00,0,0,0,0,0
2024-01-08T03:00+01:00,0,0,0,0,0
2024-01-08T04:00+01:00,0,0,0,0,0
2024-01-08T05:00+01:00,0,0,0,0,0
2024-01-08T06:00+01:00,0,0,0,0,0
2024-01-08T07:00+01:00,0,0,0,0,0
2024-01-08T08:00+01:00,0,0,0,0,0
2024-01-08T09:00+01:00,16,13,19,13,25
2024-01-08T10:00+01:00,86,50,136,33,133
2024-01-08T11:00+01:00,77,169,230,61,216
2024-01-08T12:00+01:00,147,213,269,50,225
2024-01-08T13:00+01:00,188,266,261,108,227
2024-01-08T14:00+01:00,188,225,230,119,177
2024-01-08T15:00+01:00,113,130,144,102,119
2024-01-08T16:00+01:00,33,36,33,33,44
2024-01-08T17:00+01:00,0,0,0,2,0
2024-01-08T18:00+01:00,0,0,0,0,0
2024-01-08T19:00+01:00,0,0,0,0,0
2024-01-08T20:00+01:00,0,0,0,0,0
2024-01-08T21:00+01:00,0,0,0,0,0
2024-01-08T22:00+01:00,0,0,0,0,0
2024-01-08T23:00+01:00,0,0,0,0,0
2024-01-09T00:00+01:00,0,0,0,0,0
2024-01-09T01:00+01:00,0,0,0,0,0
2024-01-09T02:00+01:00,0,0,0,0,0
2024-01-09T03:00+01:00,0,0,0,0,0
2024-01-09T04:00+01:00,0,0,0,0,0
2024-01-09T05:00+01:00,0,0,0,0,0
2024-01-09T06:00+01:00,0,0,0,0,0
2024-01-09T07:00+01:00,0,0,0,0,0
2024-01-09T08:00+01:00,0,0,0,2,2
2024-01-09T09:00+01:00,27,63,36,58,50
2024-01-09T10:00+01:00,122,177,152,105,150
2024-01-09T11:00+01:00,202,275,236,158,230
2024-01-09T12:00+01:00,247,305,286,252,275
2024-01-09T13:00+01:00,247,277,288,336,275
2024-01-09T14:00+01:00,202,219,252,166,230
2024-01-09T15:00+01:00,122,136,172,80,150
2024-01-09T16:00+01:00,33,41,58,22,50
2024-01-09T17:00+01:00,0,0,0,2,2
2024-01-09T18:00+01:00,0,0,0,0,0
2024-01-09T19:00+01:00,0,0,0,0,0
2024-01-09T20:00+01:00,0,0,0,0,0
2024-01-09T21:00+01:00,0,0,0,0,0
2024-01-09T22:00+01:00,0,0,0,0,0
2024-01-09T23:00+01:00,0,0,0,0,0
2024-01-10T00:00+01:00,0,0,0,0,0
2024-01-10T01:00+01:00,0,0,0,0,0
2024-01-10T02:00+01:00,0,0,0,0,0
2024-01-10T03:00+01:00,0,0,0,0,0
2024-01-10T04:00+01:00,0,0,0,0,0
2024-01-10T05:00+01:00,0,0,0,0,0
2024-01-10T06:00+01:00,0,0,0,0,0
2024-01-10T07:00+01:00,0,0,0,0,0
2024-01-10T08:00+01:00,0,2,0,2,2
2024-01-10T09:00+01:00,27,44,25,83,58
2024-01-10T10:00+01:00,122,133,55,163,152
2024-01-10T11:00+01:00,200,227,141,238,138
2024-01-10T12:00+01:00,244,288,197,250,294
2024-01-10T13:00+01:00,244,288,175,255,250
2024-01-10T14:00+01:00,200,241,202,241,169
2024-01-10T15:00+01:00,122,152,144,113,116
2024-01-10T16:00+01:00,33,50,47,72,50
2024-01-10T17:00+01:00,0,0,0,2,2
2024-01-10T18:00+01:00,0,0,0,0,0
2024-01-10T19:00+01:00,0,0,0,0,0
2024-01-10T20:00+01:00,0,0,0,0,0
2024-01-10T21:00+01:00,0,0,0,0,0
2024-01-10T22:00+01:00,0,0,0,0,0
2024-01-10T23:00+01:00,0,0,0,0,0
2024-01-11T00:00+01:00,0,0,0,0,0
2024-01-11T01:00+01:00,0,0,0,0,0
2024-01-11T02:00+01:00,0,0,0,0,0
2024-01-11T03:00+01:00,0,0,0,0,0
2024-01-11T04:00+01:00,0,0,0,0,0
2024-01-11T05:00+01:00,0,0,0,0,0
2024-01-11T06:00+01:00,0,0,0,0,0
2024-01-11T07:00+01:00,0,0,0,0,0
2024-01-11T08:00+01:00,0,2,0,2,2
2024-01-11T09:00+01:00,11,33,38,61,55
2024-01-11T10:00+01:00,38,100,150,166,161
2024-01-11T11:00+01:00,86,155,230,247,230
2024-01-11T12:00+01:00,83,197,283,302,280
2024-01-11T13:00+01:00,52,250,288,313,272
2024-01-11T14:00+01:00,36,136,250,266,227
2024-01-11T15:00+01:00,30,102,169,183,150
2024-01-11T16:00+01:00,8,41,61,61,50
2024-01-11T17:00+01:00,0,0,0,2,2
2024-01-11T18:00+01:00,0,0,0,0,0
2024-01-11T19:00+01:00,0,0,0,0,0
2024-01-11T20:00+01:00,0,0,0,0,0
2024-01-11T21:00+01:00,0,0,0,0,0
2024-01-11T22:00+01:00,0,0,0,0,0
2024-01-11T23:00+01:00,0,0,0,0,0
2024-01-12T00:00+01:00,0,0,0,0,0
2024-01-12T01:00+01:00,0,0,0,0,0
2024-01-12T02:00+01:00,0,0,0,0,0
2024-01-12T03:00+01:00,0,0,0,0,0
2024-01-12T04:00+01:00,0,0,0,0,0
2024-01-12T05:00+01:00,0,0,0,0,0
2024-01-12T06:00+01:00,0,0,0,0,0
2024-01-12T07:00+01:00,0,0,0,0,0
2024-01-12T08:00+01:00,0,0,0,0,2
2024-01-12T09:00+01:00,19,8,2,16,11
2024-01-12T10:00+01:00,47,27,16,41,30
2024-01-12T11:00+01:00,52,63,30,69,41
2024-01-12T12:00+01:00,41,44,44,75,47
2024-01-12T13:00+01:00,69,50,55,80,41
2024-01-12T14:00+01:00,55,36,36,66,27
2024-01-12T15:00+01:00,38,19,13,44,19
2024-01-12T16:00+01:00,11,5,2,16,11
2024-01-12T17:00+01:00,0,0,0,2,2
2024-01-12T18:00+01:00,0,0,0,0,0
2024-01-12T19:00+01:00,0,0,0,0,0
2024-01-12T20:00+01:00,0,0,0,0,0
2024-01-12T21:00+01:00,0,0,0,0,0
2024-01-12T22:00+01:00,0,0,0,0,0
2024-01-12T23:00+01:00,0,0,0,0,0
2024-01-13T00:00+01:00,0,0,0,0,0
2024-01-13T01:00+01:00,0,0,0,0,0
2024-01-13T02:00+01:00,0,0,0,0,0
2024-01-13T03:00+01:00,0,0,0,0,0
2024-01-13T04:00+01:00,0,0,0,0,0
2024-01-13T05:00+01:00,0,0,0,0,0
2024-01-13T06:00+01:00,0,0,0,0,0
2024-01-13T07:00+01:00,0,0,0,0,0
2024-01-13T08:00+01:00,0,0,0,0,0
2024-01-13T09:00+01:00,13,11,0,11,8
2024-01-13T10:00+01:00,30,27,13,27,25
2024-01-13T11:00+01:00,41,47,36,47,41
2024-01-13T12:00+01:00,47,61,30,58,47
2024-01-13T13:00+01:00,66,41,36,58,44
2024-01-13T14:00+01:00,50,30,38,47,33
2024-01-13T15:00+01:00,30,16,33,30,22
2024-01-13T16:00+01:00,8,5,8,11,5
2024-01-13T17:00+01:00,0,0,0,0,0
2024-01-13T18:00+01:00,0,0,0,0,0
2024-01-13T19:00+01:00,0,0,0,0,0
2024-01-13T20:00+01:00,0,0,0,0,0
2024-01-13T21:00+01:00,0,0,0,0,0
2024-01-13T22:00+01:00,0,0,0,0,0
2024-01-13T23:00+01:00,0,0,0,0,0
2024-01-14T00:00+01:00,0,0,0,0,0
2024-01-14T01:00+01:00,0,0,0,0,0
2024-01-14T02:00+01:00,0,0,0,0,0
2024-01-14T03:00+01:00,0,0,0,0,0
2024-01-14T04:00+01:00,0,0,0,0,0
2024-01-14T05:00+01:00,0,0,0,0,0
2024-01-14T06:00+01:00,0,0,0,0,0
2024-01-14T07:00+01:00,0,0,0,0,0
2024-01-14T08:00+01:00,0,0,0,0,0
2024-01-14T09:00+01:00,27,8,8,13,16
2024-01-14T10:00+01:00,105,19,41,33,36
2024-01-14T11:00+01:00,125,55,72,52,80
2024-01-14T12:00+01:00,144,55,63,55,94
2024-01-14T13:00+01:00,111,77,44,63,122
2024-01-14T14:00+01:00,102,83,41,63,141
2024-01-14T15:00+01:00,25,44,19,36,94
2024-01-14T16:00+01:00,8,13,5,13,58
2024-01-14T17:00+01:00,0,0,0,0,5
2024-01-14T18:00+01:00,0,0,0,0,0
2024-01-14T19:00+01:00,0,0,0,0,0
2024-01-14T20:00+01:00,0,0,0,0,0
2024-01-14T21:00+01:00,0,0,0,0,0
2024-01-14T22:00+01:00,0,0,0,0,0
2024-01-14T23:00+01:00,0,0,0,0,0
2024-01-15T00:00+01:00,0,0,0,0,0
2024-01-15T01:00+01:00,0,0,0,0,0
2024-01-15T02:00+01:00,0,0,0,0,0
2024-01-15T03:00+01:00,0,0,0,0,0
2024-01-15T04:00+01:00,0,0,0,0,0
2024-01-15T05:00+01:00,0,0,0,0,0
2024-01-15T06:00+01:00,0,0,0,0,0
2024-01-15T07:00+01:00,0,0,0,0,0
2024-01-15T08:00+01:00,0,0,0,0,0
2024-01-15T09:00+01:00,22,11,16,8,27
2024-01-15T10:00+01:00,75,44,58,33,94
2024-01-15T11:00+01:00,105,125,144,50,133
2024-01-15T12:00+01:00,105,133,133,69,244
2024-01-15T13:00+01:00,138,127,155,75,88
2024-01-15T14:00+01:00,72,100,141,122,197
2024-01-15T15:00+01:00,38,75,105,50,69
2024-01-15T16:00+01:00,25,19,13,33,25
2024-01-15T17:00+01:00,0,0,0,2,2
2024-01-15T18:00+01:00,0,0,0,0,0
2024-01-15T19:00+01:00,0,0,0,0,0
2024-01-15T20:00+01:00,0,0,0,0,0
2024-01-15T21:00+01:00,0,0,0,0,0
2024-01-15T22:00+01:00,0,0,0,0,0
2024-01-15T23:00+01:00,0,0,0,0,0
2024-01-16T00:00+01:00,0,0,0,0,0
2024-01-16T01:00+01:00,0,0,0,0,0
2024-01-16T02:00+01:00,0,0,0,0,0
2024-01-16T03:00+01:00,0,0,0,0,0
2024-01-16T04:00+01:00,0,0,0,0,0
2024-01-16T05:00+01:00,0,0,0,0,0
2024-01-16T06:00+01:00,0,0,0,0,0
2024-01-16T07:00+01:00,0,0,0,0,0
2024-01-16T08:00+01:00,0,0,0,2,2
2024-01-16T09:00+01:00,25,19,38,44,36
2024-01-16T10:00+01:00,80,72,63,91,88
2024-01-16T11:00+01:00,163,155,119,241,141
